effect_type,comparison_label,outcome,model,RD,rd_p,rd_p_fdr,ci_entirely_meaningful
Surgery,Long cephalomedullary,Arterial line,DeepSeek 3.2,54.65 (51.51-57.79),4.939010720963132e-255,2.4695053604815662e-254,TRUE
Surgery,Total hip,Arterial line,GPT-5,16.65 (13.34-19.97),7.459791198254063e-23,3.729895599127032e-22,TRUE
Surgery,Long cephalomedullary,Arterial line,GPT-5 mini,31.06 (27.68-34.43),1.5301483632676624e-72,7.650741816338312e-72,TRUE
Surgery,Total hip,Arterial line,GPT-5 mini,10.95 (8.83-13.06),3.603258290958499e-24,9.008145727396247e-24,TRUE
Surgery,Hemiarthroplasty,Arterial line,GPT-5 mini,7.97 (6.22-9.73),6.298330272314573e-19,1.049721712052429e-18,TRUE
Surgery,Long cephalomedullary,Arterial line,GPT-5 nano,25.10 (21.88-28.33),1.5950518682239108e-52,7.975259341119554e-52,TRUE
Surgery,Total hip,Arterial line,GPT-5 nano,24.24 (21.01-27.48),9.072196701103033e-49,2.2680491752757582e-48,TRUE
Surgery,Percutaneous screws,Arterial line,GPT-5 nano,-17.32 (-20.62--14.03),6.411260518840134e-25,1.068543419806689e-24,TRUE
Surgery,Long cephalomedullary,Arterial line,Gemini 2.5 Flash,29.74 (26.76-32.73),7.390196911639584e-85,3.6950984558197924e-84,TRUE
Surgery,Hemiarthroplasty,Arterial line,Gemini 2.5 Flash,26.72 (23.81-29.64),2.9150060491743467e-72,7.287515122935867e-72,TRUE
Surgery,Total hip,Arterial line,Gemini 2.5 Flash,25.48 (22.61-28.35),8.718641392648882e-68,1.4531068987748137e-67,TRUE
Surgery,Total hip,Nerve block,GPT-5 mini,-6.72 (-8.09--5.36),6.018163969465615e-22,3.009081984732807e-21,TRUE
Surgery,Long cephalomedullary,Neuraxial anesthesia,DeepSeek 3.2,-39.23 (-42.33--36.13),1.0116525707793304e-135,5.058262853896652e-135,TRUE
Surgery,Total hip,Neuraxial anesthesia,DeepSeek 3.2,25.89 (23.73-28.06),1.2671398751007545e-121,3.167849687751886e-121,TRUE
Surgery,Hemiarthroplasty,Neuraxial anesthesia,DeepSeek 3.2,24.15 (21.91-26.38),1.2540203847931257e-99,2.0900339746552096e-99,TRUE
Surgery,Percutaneous screws,Neuraxial anesthesia,DeepSeek 3.2,17.70 (15.21-20.20),5.865808044500087e-44,7.332260055625109e-44,TRUE
Surgery,Sliding hip screw,Neuraxial anesthesia,DeepSeek 3.2,16.43 (13.88-18.97),1.0207315270829384e-36,1.0207315270829384e-36,TRUE
Surgery,Long cephalomedullary,Neuraxial anesthesia,GPT-5 mini,-17.44 (-21.86--13.02),1.0068181864629407e-14,5.0340909323147035e-14,TRUE
Surgery,Long cephalomedullary,Neuraxial anesthesia,Gemini 2.5 Flash,-39.45 (-42.81--36.09),2.8842468736693657e-117,1.4421234368346828e-116,TRUE
Surgery,Percutaneous screws,Neuraxial anesthesia,Gemini 2.5 Flash,-5.80 (-7.79--3.80),1.2914737639631164e-8,3.228684409907791e-8,FALSE
Surgery,Hemiarthroplasty,Neuraxial anesthesia,Gemini 2.5 Flash,-5.29 (-7.25--3.34),1.1342733811672988e-7,1.8904556352788315e-7,FALSE
Variable,Aortic stenosis,Arterial line,DeepSeek 3.2,78.85 (75.43-82.26),0,0,TRUE
Variable,Stent,Arterial line,DeepSeek 3.2,65.35 (60.87-69.84),1.133988227582586e-179,7.937917593078102e-179,TRUE
Variable,Obesity,Arterial line,DeepSeek 3.2,50.40 (45.29-55.52),4.1208375045534275e-83,1.966763354445954e-82,TRUE
Variable,Aortic stenosis,Arterial line,GPT-5,99.92 (99.83-100.01),0,0,TRUE
Variable,Stent,Arterial line,GPT-5,16.40 (7.81-24.99),1.83423930674001e-4,4.3771619819932056e-4,TRUE
Variable,Aortic stenosis,Arterial line,GPT-5 mini,99.04 (98.63-99.46),0,0,TRUE
Variable,Stent,Arterial line,GPT-5 mini,64.66 (58.72-70.60),5.785572228211701e-101,3.374917133123492e-100,TRUE
Variable,Thrombocytopenia,Arterial line,GPT-5 mini,11.51 (8.56-14.46),2.1631190134485782e-14,6.680220482708845e-14,TRUE
Variable,Obesity,Arterial line,GPT-5 mini,7.93 (5.69-10.18),4.112533135046e-12,1.2337599405138e-11,TRUE
